Retailer,Retailer ID,Invoice Date,Region,State,City,Beverage Brand,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin
Costco,1004,2024-07-03,South,Florida,Miami,Coca-Cola,Coca-Cola Classic 33cl,0.95,689,654.55,134.18,20.5
Kroger,1003,2024-07-03,Midwest,Ohio,Columbus,Coca-Cola Zero Sugar,Coke Zero 1.5L,2.83,170,481.1,105.31,21.89
Target,1002,2024-07-03,Midwest,Ohio,Columbus,Dasani Water,Dasani 1L,0.87,326,283.62,71.19,25.1
Walmart,1001,2024-07-04,Midwest,Ohio,Columbus,Coca-Cola Zero Sugar,Coke Zero 33cl,0.89,219,194.91,81.3,41.71
Costco,1004,2024-07-04,Northeast,Pennsylvania,Philadelphia,Diet Coke,Diet Coke 1.5L,2.63,134,352.42,140.4,39.84
CVS,1005,2024-07-04,South,Florida,Miami,Fanta,Fanta Orange 33cl,2.62,517,1354.54,436.57,32.23
Walgreens,1006,2024-07-04,West,California,Los Angeles,Coca-Cola Zero Sugar,Coke Zero 1.5L,3.32,593,1968.76,542.0,27.53
Target,1002,2024-07-04,Midwest,Michigan,Detroit,Diet Coke,Diet Coke 1.5L,2.55,844,2152.2,463.58,21.54
Target,1002,2024-07-04,South,Texas,Houston,Diet Coke,Diet Coke 1.5L,2.75,206,566.5,234.98,41.48
Costco,1004,2024-07-04,South,Texas,Houston,Powerade,Powerade Blue 50cl,2.89,785,2268.65,810.82,35.74
Costco,1004,2024-07-04,West,California,Los Angeles,Diet Coke,Diet Coke 1.5L,3.2,553,1769.6,688.55,38.91
Walmart,1001,2024-07-04,Southeast,Tennessee,Nashville,Coca-Cola Zero Sugar,Coke Zero 33cl,2.67,519,1385.73,570.37,41.16
Walmart,1001,2024-07-04,Southeast,Tennessee,Nashville,Powerade,Powerade Red 50cl,3.08,939,2892.12,705.1,24.38
Target,1002,2024-07-04,South,Florida,Miami,Fanta,Fanta Orange 1.5L,0.93,105,97.65,21.17,21.68
CVS,1005,2024-07-05,South,Florida,Miami,Coca-Cola Zero Sugar,Coke Zero 33cl,1.81,586,1060.66,252.44,23.8
Target,1002,2024-07-05,South,Florida,Miami,Diet Coke,Diet Coke 33cl,1.83,327,598.41,233.8,39.07
Walgreens,1006,2024-07-05,Northeast,Massachusetts,Boston,Sprite,Sprite 1.5L,3.28,395,1295.6,352.27,27.19
Target,1002,2024-07-05,South,Texas,Houston,Coca-Cola,Coca-Cola 1.5L,1.12,447,500.64,120.6,24.09
Walmart,1001,2024-07-05,Midwest,Illinois,Chicago,Coca-Cola Zero Sugar,Coke Zero 33cl,2.44,413,1007.72,383.24,38.03
Costco,1004,2024-07-05,Northeast,Massachusetts,Boston,Sprite,Sprite 33cl,2.95,472,1392.4,496.11,35.63
Costco,1004,2024-07-05,South,Texas,Houston,Coca-Cola Zero Sugar,Coke Zero 33cl,2.04,120,244.8,57.75,23.59
Costco,1004,2024-07-05,South,Georgia,Atlanta,Coca-Cola,Coca-Cola 1.5L,1.73,326,563.98,162.76,28.86
CVS,1005,2024-07-05,Northeast,New York,New York City,Diet Coke,Diet Coke 33cl,3.23,919,2968.37,1171.62,39.47
Walgreens,1006,2024-07-05,Southeast,Tennessee,Nashville,Dasani Water,Dasani 50cl,2.1,514,1079.4,358.25,33.19
Walmart,1001,2024-07-05,West,California,Los Angeles,Fanta,Fanta Orange 1.5L,0.83,561,465.63,186.76,40.11
Target,1002,2024-07-06,Southeast,North Carolina,Charlotte,Powerade,Powerade Red 50cl,0.89,102,90.78,28.85,31.78
Walgreens,1006,2024-07-06,West,Washington,Seattle,Powerade,Powerade Red 50cl,2.48,179,443.92,121.1,27.28
Kroger,1003,2024-07-06,West,Washington,Seattle,Coca-Cola,Coca-Cola Classic 33cl,2.99,115,343.85,131.32,38.19
Walmart,1001,2024-07-06,South,Georgia,Atlanta,Coca-Cola Zero Sugar,Coke Zero 33cl,3.14,303,951.42,301.6,31.7
Target,1002,2024-07-06,Northeast,New York,New York City,Dasani Water,Dasani 1L,1.06,533,564.98,122.54,21.69
Target,1002,2024-07-06,Southeast,North Carolina,Charlotte,Coca-Cola Zero Sugar,Coke Zero 33cl,3.21,286,918.06,248.15,27.03
Walgreens,1006,2024-07-06,South,Georgia,Atlanta,Fanta,Fanta Orange 1.5L,2.91,381,1108.71,384.06,34.64
Kroger,1003,2024-07-06,Midwest,Illinois,Chicago,Dasani Water,Dasani 1L,3.22,151,486.22,153.06,31.48
Target,1002,2024-07-06,Southeast,North Carolina,Charlotte,Coca-Cola,Coca-Cola Classic 33cl,2.76,370,1021.2,236.51,23.16
Kroger,1003,2024-07-06,Midwest,Illinois,Chicago,Coca-Cola Zero Sugar,Coke Zero 1.5L,2.08,59,122.72,50.07,40.8
Kroger,1003,2024-07-07,Midwest,Illinois,Chicago,Coca-Cola Zero Sugar,Coke Zero 33cl,1.74,333,579.42,131.06,22.62
CVS,1005,2024-07-07,West,Washington,Seattle,Fanta,Fanta Orange 33cl,1.18,260,306.8,89.49,29.17
Target,1002,2024-07-07,Midwest,Illinois,Chicago,Sprite,Sprite 33cl,1.55,710,1100.5,366.36,33.29
Walgreens,1006,2024-07-07,Southeast,North Carolina,Charlotte,Coca-Cola Zero Sugar,Coke Zero 33cl,3.05,84,256.2,94.03,36.7
Walgreens,1006,2024-07-07,South,Florida,Miami,Sprite,Sprite 1.5L,1.69,416,703.04,283.11,40.27
CVS,1005,2024-07-08,South,Texas,Houston,Coca-Cola,Coca-Cola 1.5L,1.22,819,999.18,207.43,20.76
Kroger,1003,2024-07-08,West,Washington,Seattle,Diet Coke,Diet Coke 1.5L,2.86,151,431.86,122.13,28.28
Walgreens,1006,2024-07-08,Northeast,Massachusetts,Boston,Diet Coke,Diet Coke 1.5L,3.11,385,1197.35,453.44,37.87
CVS,1005,2024-07-08,Southeast,Tennessee,Nashville,Coca-Cola,Coca-Cola 2L,3.42,458,1566.36,523.32,33.41
Kroger,1003,2024-07-08,Northeast,New York,New York City,Diet Coke,Diet Coke 1.5L,2.09,702,1467.18,307.67,20.97
Target,1002,2024-07-08,South,Florida,Miami,Coca-Cola,Coca-Cola 1.5L,0.96,718,689.28,137.92,20.01
Walmart,1001,2024-07-08,Southeast,North Carolina,Charlotte,Sprite,Sprite 33cl,1.56,731,1140.36,288.4,25.29
Kroger,1003,2024-07-08,West,Washington,Seattle,Powerade,Powerade Blue 50cl,2.43,595,1445.85,450.96,31.19
Walmart,1001,2024-07-08,Northeast,New York,New York City,Sprite,Sprite 33cl,1.59,586,931.74,352.94,37.88
Walgreens,1006,2024-07-08,South,Florida,Miami,Coca-Cola,Coca-Cola 1.5L,2.06,586,1207.16,460.29,38.13
Walmart,1001,2024-07-08,Southeast,Tennessee,Nashville,Powerade,Powerade Red 50cl,3.42,271,926.82,297.6,32.11
Target,1002,2024-07-08,Northeast,Massachusetts,Boston,Sprite,Sprite 1.5L,1.24,287,355.88,141.18,39.67
Costco,1004,2024-07-09,South,Texas,Houston,Fanta,Fanta Orange 33cl,2.47,250,617.5,186.24,30.16
CVS,1005,2024-07-09,South,Florida,Miami,Coca-Cola,Coca-Cola 2L,2.86,594,1698.84,577.27,33.98
Costco,1004,2024-07-09,Southeast,Tennessee,Nashville,Powerade,Powerade Red 50cl,2.19,594,1300.86,404.44,31.09
Costco,1004,2024-07-09,Midwest,Ohio,Columbus,Coca-Cola Zero Sugar,Coke Zero 1.5L,1.79,391,699.89,275.2,39.32
CVS,1005,2024-07-09,Midwest,Ohio,Columbus,Sprite,Sprite 33cl,1.88,624,1173.12,349.24,29.77
Kroger,1003,2024-07-09,Southeast,Tennessee,Nashville,Coca-Cola,Coca-Cola Classic 33cl,0.99,520,514.8,134.72,26.17
Kroger,1003,2024-07-09,South,Florida,Miami,Coca-Cola,Coca-Cola Classic 33cl,1.51,545,822.95,184.18,22.38
Costco,1004,2024-07-09,Northeast,Massachusetts,Boston,Coca-Cola,Coca-Cola 2L,0.83,486,403.38,125.65,31.15
Walmart,1001,2024-07-09,Midwest,Michigan,Detroit,Powerade,Powerade Red 50cl,2.3,130,299.0,104.02,34.79
Costco,1004,2024-07-09,Southeast,Virginia,Richmond,Sprite,Sprite 33cl,2.64,804,2122.56,698.75,32.92
Walgreens,1006,2024-07-09,Midwest,Michigan,Detroit,Fanta,Fanta Orange 33cl,3.23,805,2600.15,567.09,21.81
Kroger,1003,2024-07-09,Southeast,North Carolina,Charlotte,Powerade,Powerade Blue 50cl,1.66,295,489.7,143.09,29.22
Costco,1004,2024-07-10,South,Georgia,Atlanta,Dasani Water,Dasani 1L,1.78,747,1329.66,430.15,32.35
Target,1002,2024-07-10,Southeast,Tennessee,Nashville,Dasani Water,Dasani 1L,0.97,419,406.43,132.09,32.5
Costco,1004,2024-07-10,South,Texas,Houston,Sprite,Sprite 1.5L,3.23,258,833.34,335.17,40.22
Kroger,1003,2024-07-10,Southeast,Virginia,Richmond,Coca-Cola,Coca-Cola 1.5L,1.06,239,253.34,83.37,32.91
Target,1002,2024-07-10,Northeast,New York,New York City,Coca-Cola Zero Sugar,Coke Zero 1.5L,2.42,612,1481.04,581.01,39.23
Costco,1004,2024-07-10,Midwest,Illinois,Chicago,Fanta,Fanta Orange 1.5L,1.58,170,268.6,95.33,35.49
Target,1002,2024-07-10,Midwest,Michigan,Detroit,Dasani Water,Dasani 1L,1.94,506,981.64,238.54,24.3
Target,1002,2024-07-10,South,Florida,Miami,Fanta,Fanta Orange 33cl,1.12,582,651.84,142.95,21.93
Walmart,1001,2024-07-10,Southeast,North Carolina,Charlotte,Dasani Water,Dasani 50cl,0.89,217,193.13,42.16,21.83
Walmart,1001,2024-07-11,Southeast,Virginia,Richmond,Fanta,Fanta Orange 1.5L,2.14,291,622.74,175.05,28.11
CVS,1005,2024-07-11,Midwest,Michigan,Detroit,Sprite,Sprite 1.5L,2.33,342,796.86,232.84,29.22
CVS,1005,2024-07-11,Northeast,New York,New York City,Diet Coke,Diet Coke 1.5L,1.15,351,403.65,103.9,25.74
Target,1002,2024-07-11,Midwest,Michigan,Detroit,Powerade,Powerade Blue 50cl,1.61,80,128.8,26.53,20.6
Walmart,1001,2024-07-11,Southeast,Tennessee,Nashville,Diet Coke,Diet Coke 1.5L,2.18,684,1491.12,432.87,29.03
Target,1002,2024-07-11,Midwest,Ohio,Columbus,Coca-Cola,Coca-Cola 2L,3.08,484,1490.72,590.77,39.63
Walgreens,1006,2024-07-11,West,Washington,Seattle,Powerade,Powerade Red 50cl,0.84,624,524.16,133.77,25.52
CVS,1005,2024-07-11,Southeast,North Carolina,Charlotte,Diet Coke,Diet Coke 33cl,2.28,417,950.76,372.98,39.23
Walmart,1001,2024-07-11,Midwest,Ohio,Columbus,Fanta,Fanta Orange 1.5L,2.15,292,627.8,245.78,39.15
Target,1002,2024-07-11,South,Georgia,Atlanta,Coca-Cola Zero Sugar,Coke Zero 33cl,3.05,403,1229.15,364.81,29.68
Costco,1004,2024-07-12,Midwest,Ohio,Columbus,Powerade,Powerade Red 50cl,2.18,536,1168.48,434.21,37.16
Walmart,1001,2024-07-12,Midwest,Michigan,Detroit,Dasani Water,Dasani 1L,3.5,567,1984.5,514.18,25.91
Costco,1004,2024-07-12,South,Texas,Houston,Dasani Water,Dasani 1L,1.0,334,334.0,67.87,20.32
CVS,1005,2024-07-12,Midwest,Illinois,Chicago,Coca-Cola Zero Sugar,Coke Zero 1.5L,0.94,349,328.06,91.14,27.78
CVS,1005,2024-07-12,West,Washington,Seattle,Fanta,Fanta Orange 33cl,3.27,818,2674.86,905.71,33.86
Target,1002,2024-07-13,Northeast,Pennsylvania,Philadelphia,Fanta,Fanta Orange 1.5L,2.77,455,1260.35,375.71,29.81
Costco,1004,2024-07-13,West,California,Los Angeles,Sprite,Sprite 33cl,1.73,284,491.32,152.06,30.95
CVS,1005,2024-07-13,Midwest,Michigan,Detroit,Coca-Cola Zero Sugar,Coke Zero 1.5L,2.96,229,677.84,141.06,20.81
CVS,1005,2024-07-13,Midwest,Ohio,Columbus,Diet Coke,Diet Coke 33cl,1.34,394,527.96,209.49,39.68
Walgreens,1006,2024-07-13,Midwest,Illinois,Chicago,Powerade,Powerade Red 50cl,1.95,611,1191.45,357.91,30.04
Walmart,1001,2024-07-13,Midwest,Michigan,Detroit,Dasani Water,Dasani 1L,2.56,519,1328.64,373.35,28.1
Walgreens,1006,2024-07-13,South,Texas,Houston,Fanta,Fanta Orange 33cl,0.93,490,455.7,152.57,33.48
CVS,1005,2024-07-13,Midwest,Ohio,Columbus,Coca-Cola,Coca-Cola 1.5L,1.05,93,97.65,29.36,30.07
Target,1002,2024-07-13,South,Georgia,Atlanta,Dasani Water,Dasani 1L,1.01,745,752.45,222.5,29.57
CVS,1005,2024-07-13,Midwest,Illinois,Chicago,Diet Coke,Diet Coke 33cl,3.49,274,956.26,360.03,37.65
Target,1002,2024-07-13,Southeast,North Carolina,Charlotte,Dasani Water,Dasani 1L,1.88,330,620.4,160.31,25.84
CVS,1005,2024-07-13,South,Georgia,Atlanta,Fanta,Fanta Orange 1.5L,1.42,662,940.04,237.17,25.23
Kroger,1003,2024-07-13,Southeast,Tennessee,Nashville,Fanta,Fanta Orange 1.5L,2.4,332,796.8,249.72,31.34
Target,1002,2024-07-14,West,California,Los Angeles,Fanta,Fanta Orange 1.5L,3.24,210,680.4,276.17,40.59
CVS,1005,2024-07-14,Midwest,Michigan,Detroit,Coca-Cola,Coca-Cola Classic 33cl,1.77,264,467.28,144.25,30.87
Walmart,1001,2024-07-14,Northeast,Massachusetts,Boston,Diet Coke,Diet Coke 1.5L,3.43,202,692.86,143.49,20.71
Walgreens,1006,2024-07-14,West,Arizona,Phoenix,Coca-Cola Zero Sugar,Coke Zero 33cl,1.73,643,1112.39,375.54,33.76
Costco,1004,2024-07-14,West,California,Los Angeles,Sprite,Sprite 33cl,1.47,86,126.42,43.98,34.79
Kroger,1003,2024-07-15,Midwest,Michigan,Detroit,Fanta,Fanta Orange 33cl,2.2,798,1755.6,510.18,29.06
Walmart,1001,2024-07-15,Southeast,North Carolina,Charlotte,Dasani Water,Dasani 50cl,2.89,342,988.38,371.63,37.6
Walgreens,1006,2024-07-15,South,Georgia,Atlanta,Fanta,Fanta Orange 1.5L,3.36,642,2157.12,474.35,21.99
Kroger,1003,2024-07-15,Midwest,Michigan,Detroit,Coca-Cola,Coca-Cola Classic 33cl,1.2,574,688.8,251.27,36.48
Walmart,1001,2024-07-15,West,Washington,Seattle,Coca-Cola,Coca-Cola 1.5L,0.99,717,709.83,174.33,24.56
Target,1002,2024-07-15,Southeast,Virginia,Richmond,Coca-Cola,Coca-Cola Classic 33cl,3.23,58,187.34,61.37,32.76
Target,1002,2024-07-15,South,Georgia,Atlanta,Diet Coke,Diet Coke 1.5L,1.25,87,108.75,38.92,35.79
Kroger,1003,2024-07-15,South,Georgia,Atlanta,Sprite,Sprite 1.5L,2.93,453,1327.29,517.91,39.02
Target,1002,2024-07-16,Midwest,Michigan,Detroit,Powerade,Powerade Blue 50cl,1.23,889,1093.47,232.47,21.26
Target,1002,2024-07-16,West,Arizona,Phoenix,Powerade,Powerade Blue 50cl,2.7,796,2149.2,693.33,32.26
Kroger,1003,2024-07-16,West,Washington,Seattle,Sprite,Sprite 33cl,2.71,405,1097.55,449.89,40.99
Walgreens,1006,2024-07-16,Southeast,Virginia,Richmond,Coca-Cola Zero Sugar,Coke Zero 1.5L,2.52,546,1375.92,312.88,22.74
Target,1002,2024-07-16,South,Georgia,Atlanta,Powerade,Powerade Blue 50cl,2.85,192,547.2,115.35,21.08
Kroger,1003,2024-07-16,Midwest,Ohio,Columbus,Diet Coke,Diet Coke 1.5L,1.51,275,415.25,150.74,36.3
Kroger,1003,2024-07-16,West,California,Los Angeles,Coca-Cola,Coca-Cola 2L,3.06,513,1569.78,389.62,24.82
Walgreens,1006,2024-07-16,Northeast,Pennsylvania,Philadelphia,Diet Coke,Diet Coke 33cl,2.56,673,1722.88,562.86,32.67
Costco,1004,2024-07-16,Southeast,Tennessee,Nashville,Coca-Cola,Coca-Cola 2L,2.89,209,604.01,248.55,41.15
Target,1002,2024-07-17,South,Texas,Houston,Diet Coke,Diet Coke 33cl,2.46,320,787.2,176.25,22.39
Walmart,1001,2024-07-17,Northeast,Massachusetts,Boston,Fanta,Fanta Orange 1.5L,1.72,291,500.52,183.09,36.58
Walmart,1001,2024-07-17,West,Washington,Seattle,Powerade,Powerade Blue 50cl,0.9,704,633.6,237.03,37.41
Target,1002,2024-07-17,West,Washington,Seattle,Coca-Cola,Coca-Cola Classic 33cl,1.83,522,955.26,391.56,40.99
Walmart,1001,2024-07-17,South,Georgia,Atlanta,Dasani Water,Dasani 50cl,1.44,186,267.84,80.27,29.97
CVS,1005,2024-07-17,Northeast,New York,New York City,Fanta,Fanta Orange 1.5L,1.85,421,778.85,321.98,41.34
Costco,1004,2024-07-17,Southeast,Tennessee,Nashville,Sprite,Sprite 1.5L,1.21,150,181.5,47.3,26.06
CVS,1005,2024-07-18,South,Texas,Houston,Sprite,Sprite 1.5L,2.78,389,1081.42,357.41,33.05
Kroger,1003,2024-07-18,South,Georgia,Atlanta,Coca-Cola Zero Sugar,Coke Zero 1.5L,3.22,560,1803.2,415.46,23.04
CVS,1005,2024-07-18,West,Washington,Seattle,Fanta,Fanta Orange 33cl,1.54,135,207.9,55.86,26.87
Walgreens,1006,2024-07-18,South,Texas,Houston,Powerade,Powerade Blue 50cl,3.29,266,875.14,282.85,32.32
Walgreens,1006,2024-07-18,Midwest,Illinois,Chicago,Sprite,Sprite 1.5L,0.93,465,432.45,116.85,27.02
Target,1002,2024-07-18,West,Washington,Seattle,Coca-Cola,Coca-Cola 2L,1.56,181,282.36,105.24,37.27
Walgreens,1006,2024-07-18,Northeast,Massachusetts,Boston,Coca-Cola,Coca-Cola 2L,1.57,490,769.3,322.95,41.98
Walmart,1001,2024-07-18,Southeast,Tennessee,Nashville,Sprite,Sprite 33cl,2.24,226,506.24,204.72,40.44
Costco,1004,2024-07-18,Midwest,Ohio,Columbus,Sprite,Sprite 1.5L,2.58,688,1775.04,673.45,37.94
CVS,1005,2024-07-19,West,California,Los Angeles,Coca-Cola Zero Sugar,Coke Zero 1.5L,2.81,652,1832.12,603.5,32.94
CVS,1005,2024-07-19,Midwest,Michigan,Detroit,Sprite,Sprite 33cl,2.09,654,1366.86,313.83,22.96
Kroger,1003,2024-07-19,Southeast,North Carolina,Charlotte,Coca-Cola Zero Sugar,Coke Zero 33cl,2.2,254,558.8,124.78,22.33
Walgreens,1006,2024-07-19,Northeast,Massachusetts,Boston,Diet Coke,Diet Coke 1.5L,1.21,801,969.21,348.43,35.95
Walmart,1001,2024-07-19,Midwest,Ohio,Columbus,Diet Coke,Diet Coke 1.5L,0.96,572,549.12,170.83,31.11
Target,1002,2024-07-19,Northeast,Pennsylvania,Philadelphia,Powerade,Powerade Blue 50cl,1.86,469,872.34,202.99,23.27
Walgreens,1006,2024-07-19,South,Georgia,Atlanta,Dasani Water,Dasani 1L,2.52,705,1776.6,549.86,30.95
Walgreens,1006,2024-07-19,West,Washington,Seattle,Diet Coke,Diet Coke 33cl,3.49,525,1832.25,559.57,30.54
CVS,1005,2024-07-20,West,California,Los Angeles,Fanta,Fanta Orange 1.5L,2.2,714,1570.8,647.33,41.21
Walmart,1001,2024-07-20,Midwest,Ohio,Columbus,Diet Coke,Diet Coke 1.5L,0.9,116,104.4,28.92,27.7
Costco,1004,2024-07-20,West,Arizona,Phoenix,Dasani Water,Dasani 1L,3.12,787,2455.44,692.19,28.19
Target,1002,2024-07-20,Midwest,Illinois,Chicago,Coca-Cola,Coca-Cola 2L,3.19,78,248.82,66.09,26.56
Walgreens,1006,2024-07-20,Midwest,Michigan,Detroit,Powerade,Powerade Red 50cl,3.48,710,2470.8,1017.48,41.18
Kroger,1003,2024-07-20,Northeast,Pennsylvania,Philadelphia,Coca-Cola,Coca-Cola 2L,3.18,325,1033.5,245.77,23.78
Walmart,1001,2024-07-20,Midwest,Ohio,Columbus,Sprite,Sprite 1.5L,2.01,449,902.49,366.86,40.65
Kroger,1003,2024-07-20,West,California,Los Angeles,Coca-Cola Zero Sugar,Coke Zero 1.5L,3.49,515,1797.35,399.19,22.21
Walgreens,1006,2024-07-20,South,Texas,Houston,Diet Coke,Diet Coke 1.5L,2.68,526,1409.68,353.97,25.11
Target,1002,2024-07-20,Midwest,Illinois,Chicago,Sprite,Sprite 1.5L,1.69,74,125.06,37.92,30.32
CVS,1005,2024-07-21,Midwest,Ohio,Columbus,Sprite,Sprite 33cl,3.03,412,1248.36,353.41,28.31
Walmart,1001,2024-07-21,Midwest,Ohio,Columbus,Coca-Cola,Coca-Cola 2L,2.69,233,626.77,147.17,23.48
Target,1002,2024-07-21,Midwest,Michigan,Detroit,Fanta,Fanta Orange 1.5L,1.1,504,554.4,155.12,27.98
Kroger,1003,2024-07-21,Southeast,Tennessee,Nashville,Coca-Cola Zero Sugar,Coke Zero 1.5L,1.33,311,413.63,136.99,33.12
Walmart,1001,2024-07-21,Midwest,Ohio,Columbus,Fanta,Fanta Orange 1.5L,2.24,560,1254.4,384.1,30.62
Kroger,1003,2024-07-21,Southeast,Virginia,Richmond,Powerade,Powerade Red 50cl,1.38,162,223.56,63.87,28.57
Walgreens,1006,2024-07-21,Northeast,Massachusetts,Boston,Coca-Cola,Coca-Cola Classic 33cl,2.62,643,1684.66,364.39,21.63
Costco,1004,2024-07-22,Northeast,New York,New York City,Coca-Cola Zero Sugar,Coke Zero 33cl,1.58,582,919.56,372.88,40.55
Walgreens,1006,2024-07-22,Southeast,Tennessee,Nashville,Coca-Cola Zero Sugar,Coke Zero 33cl,1.2,457,548.4,171.27,31.23
Walmart,1001,2024-07-22,South,Georgia,Atlanta,Coca-Cola,Coca-Cola 1.5L,2.13,325,692.25,219.37,31.69
Target,1002,2024-07-22,Midwest,Ohio,Columbus,Coca-Cola,Coca-Cola 1.5L,3.23,691,2231.93,636.1,28.5
Kroger,1003,2024-07-22,Southeast,Tennessee,Nashville,Coca-Cola,Coca-Cola 1.5L,2.77,439,1216.03,429.02,35.28
Walmart,1001,2024-07-22,Southeast,North Carolina,Charlotte,Coca-Cola,Coca-Cola 2L,1.79,164,293.56,94.06,32.04
CVS,1005,2024-07-22,Southeast,North Carolina,Charlotte,Powerade,Powerade Blue 50cl,2.08,175,364.0,91.8,25.22
CVS,1005,2024-07-22,Northeast,Pennsylvania,Philadelphia,Sprite,Sprite 1.5L,2.4,857,2056.8,746.21,36.28
Kroger,1003,2024-07-22,South,Georgia,Atlanta,Coca-Cola,Coca-Cola 2L,2.29,898,2056.42,628.24,30.55
Walgreens,1006,2024-07-22,Southeast,Tennessee,Nashville,Fanta,Fanta Orange 33cl,2.01,492,988.92,373.71,37.79
Kroger,1003,2024-07-22,South,Florida,Miami,Coca-Cola,Coca-Cola 1.5L,0.86,169,145.34,60.08,41.34
Target,1002,2024-07-22,South,Georgia,Atlanta,Coca-Cola,Coca-Cola Classic 33cl,0.93,261,242.73,84.62,34.86
CVS,1005,2024-07-23,South,Florida,Miami,Powerade,Powerade Red 50cl,3.15,241,759.15,153.42,20.21
Walmart,1001,2024-07-23,Midwest,Ohio,Columbus,Coca-Cola Zero Sugar,Coke Zero 1.5L,1.53,335,512.55,146.03,28.49
Costco,1004,2024-07-23,West,California,Los Angeles,Coca-Cola Zero Sugar,Coke Zero 1.5L,1.47,395,580.65,189.87,32.7
Kroger,1003,2024-07-23,West,California,Los Angeles,Sprite,Sprite 1.5L,1.42,355,504.1,208.6,41.38
Costco,1004,2024-07-23,Midwest,Michigan,Detroit,Dasani Water,Dasani 50cl,2.31,150,346.5,82.4,23.78
Walgreens,1006,2024-07-23,South,Georgia,Atlanta,Sprite,Sprite 33cl,2.16,678,1464.48,319.55,21.82
Kroger,1003,2024-07-23,Southeast,Tennessee,Nashville,Sprite,Sprite 33cl,2.79,171,477.09,178.77,37.47
Target,1002,2024-07-24,Northeast,Pennsylvania,Philadelphia,Coca-Cola,Coca-Cola 1.5L,0.92,558,513.36,123.0,23.96
Kroger,1003,2024-07-24,South,Texas,Houston,Sprite,Sprite 1.5L,1.2,355,426.0,145.99,34.27
CVS,1005,2024-07-24,South,Georgia,Atlanta,Sprite,Sprite 33cl,2.62,624,1634.88,623.05,38.11
Walgreens,1006,2024-07-24,Northeast,Massachusetts,Boston,Coca-Cola,Coca-Cola 2L,1.43,679,970.97,280.8,28.92
Costco,1004,2024-07-25,West,Washington,Seattle,Sprite,Sprite 33cl,2.3,136,312.8,128.34,41.03
Kroger,1003,2024-07-25,Northeast,Massachusetts,Boston,Sprite,Sprite 33cl,2.74,196,537.04,200.21,37.28
CVS,1005,2024-07-25,Southeast,Tennessee,Nashville,Dasani Water,Dasani 50cl,1.24,349,432.76,135.11,31.22
Costco,1004,2024-07-25,South,Florida,Miami,Sprite,Sprite 1.5L,1.02,557,568.14,121.24,21.34
Costco,1004,2024-07-25,South,Texas,Houston,Dasani Water,Dasani 50cl,0.88,268,235.84,68.37,28.99
Walgreens,1006,2024-07-25,Northeast,New York,New York City,Powerade,Powerade Red 50cl,3.04,146,443.84,112.69,25.39
Walgreens,1006,2024-07-25,Southeast,Tennessee,Nashville,Fanta,Fanta Orange 33cl,2.35,379,890.65,265.77,29.84
Walgreens,1006,2024-07-25,Midwest,Ohio,Columbus,Diet Coke,Diet Coke 1.5L,1.19,715,850.85,314.64,36.98
Walgreens,1006,2024-07-25,Southeast,Tennessee,Nashville,Diet Coke,Diet Coke 33cl,1.12,442,495.04,190.24,38.43
Walgreens,1006,2024-07-25,Midwest,Michigan,Detroit,Sprite,Sprite 33cl,1.31,237,310.47,122.45,39.44
Walgreens,1006,2024-07-25,Northeast,New York,New York City,Sprite,Sprite 33cl,2.97,396,1176.12,357.54,30.4
Kroger,1003,2024-07-25,West,Arizona,Phoenix,Coca-Cola Zero Sugar,Coke Zero 1.5L,2.69,166,446.54,168.35,37.7
CVS,1005,2024-07-25,South,Georgia,Atlanta,Coca-Cola,Coca-Cola 1.5L,2.98,471,1403.58,493.78,35.18
Walgreens,1006,2024-07-25,Northeast,Massachusetts,Boston,Sprite,Sprite 1.5L,3.29,729,2398.41,969.44,40.42
Kroger,1003,2024-07-26,Northeast,Pennsylvania,Philadelphia,Coca-Cola Zero Sugar,Coke Zero 1.5L,2.59,649,1680.91,705.14,41.95
CVS,1005,2024-07-26,Southeast,North Carolina,Charlotte,Sprite,Sprite 1.5L,1.14,137,156.18,55.27,35.39
Target,1002,2024-07-26,South,Florida,Miami,Diet Coke,Diet Coke 1.5L,2.64,470,1240.8,343.58,27.69
Kroger,1003,2024-07-26,Northeast,New York,New York City,Diet Coke,Diet Coke 1.5L,1.24,594,736.56,198.8,26.99
Kroger,1003,2024-07-26,West,Arizona,Phoenix,Powerade,Powerade Red 50cl,3.4,705,2397.0,581.99,24.28
Walmart,1001,2024-07-26,Midwest,Ohio,Columbus,Fanta,Fanta Orange 33cl,2.26,114,257.64,94.43,36.65
CVS,1005,2024-07-26,Southeast,North Carolina,Charlotte,Powerade,Powerade Blue 50cl,3.41,779,2656.39,614.42,23.13
Kroger,1003,2024-07-26,Midwest,Michigan,Detroit,Coca-Cola,Coca-Cola 1.5L,2.42,102,246.84,63.49,25.72
Target,1002,2024-07-26,West,Washington,Seattle,Powerade,Powerade Red 50cl,1.74,866,1506.84,619.16,41.09
Costco,1004,2024-07-26,Southeast,Virginia,Richmond,Powerade,Powerade Blue 50cl,2.3,476,1094.8,226.84,20.72
Kroger,1003,2024-07-27,South,Texas,Houston,Coca-Cola Zero Sugar,Coke Zero 33cl,2.13,744,1584.72,390.32,24.63
